"Norma","Mención Explícita","Archivo:Línea","Implementación Concreta","Score","GAPS Principales"
"CMMI","Sí - Nivel 3","db/config.py:6-8, db/__init__.py:5","Procesos estándar, interfaces abstractas, REQM documentado","7/10","Falta trazabilidad bidireccional, plan de proyecto formal, SLA para servicios externos"
"ISO 9001","Sí","README.md:18, api/app.py:5","Respuestas estandarizadas, trazabilidad con timestamps, procesos documentados","7.5/10","Falta dashboard de KPIs, CHANGELOG formal, auditoría centralizada"
"IEEE 730","Sí - Explícito","api/app.py:11,139, docs/PLAN_CALIDAD.md:38-62","Plan de SQA completo, actividades de QA definidas, hash PBKDF2 implementado","8/10","Falta cronograma de actividades, matriz de responsabilidades detallada, output validation"
"ISO 9126","Sí","README.md:21, docs/PLAN_CALIDAD.md:92-115","5.5 de 6 características: Funcionalidad ✅, Fiabilidad ✅, Usabilidad ✅, Eficiencia ⚠️, Mantenibilidad ✅, Portabilidad ✅","8.5/10","Falta WCAG 2.1 AA, test coverage >80%, study de usabilidad real, índices SQL explícitos"
"ISO 14598","Sí","api/app.py:151, docs/PLAN_CALIDAD.md:118-141","Requisitos de evaluación (F1-F7), métricas de aceptación, 5 tipos de prueba diseñados","7/10","Falta test cases formales, SLAs cuantitativos, dashboard en tiempo real"
"ISO 25000 SQuaRE","Sí","README.md:23, docs/PLAN_CALIDAD.md:145-189","7 características detalladas + 5 factores de calidad en uso, portabilidad con abstracción DB","8/10","Falta OpenAPI spec, medición real con usuarios, metricas de complejidad"
"ISO 12207","Sí","README.md:24, docs/PLAN_CALIDAD.md:192-216","Ciclo de vida completo: Análisis, Diseño, Codificación, Integración, Pruebas, Operación, Mantenimiento","7.5/10","Falta CI/CD, contract formal, release notes, diagrama UML de arquitectura"
"SPICE 15504","Parcial","docs/PLAN_CALIDAD.md:219-234","Evaluación de 5 procesos (PA 1.1 a 3.2), nivel 2 en gestión, nivel 1 en realización","6/10","Falta procedimientos documentados, automación, auditoría de conformidad, CMDB"
"ISO 20000","Sí","docs/PLAN_CALIDAD.md:295-326, api/app.py:7-9","Catálogo de 12 servicios, procesos de gestión (incidentes, problemas, cambios, seguridad)","7/10","Falta ticketing system, RCA process, formal SLA, precios por servicio, Swagger spec"
"PROMEDIO","9/9 ✅","Múltiples","Documentación Excelente, Implementación Buena, Automatización Parcial","7.4/10","Validación, Testing, Monitoreo, Documentación técnica avanzada"
